pass,state,(ms),marker,blend,mask,draws,instances,verts,z,c
pass1__z_2048x2048,Copy,0.000,InitViews,1,0,0,None,
pass1__z_2048x2048,Clear,0.000,ThirdPersonExampleMap.LightSource_0,1,0,0,None,
pass1__z_2048x2048,s_vs_209315__ps_209314,0.098,M_UE4Man_Body_SK_Mannequin,1,0,32094,vs_209315,ps_209314
pass1__z_2048x2048,s_vs_214514__ps_214513,0.049,M_UE4Man_Body_SK_Mannequin,1,0,72,vs_214514,ps_214513
pass2__zc_880x432,Clear,0.000,MobileSceneRender,2,0,0,None,
pass2__zc_880x432,s_vs_3813__ps_3814,0.143,MobileSceneRender,1,0,4,vs_3813,ps_3814
pass2__zc_880x432,s_vs_211618__ps_211617,0.370,RampMaterial_RightArm_StaticMesh,5,0,672,vs_211618,ps_211617
pass2__zc_880x432,s_vs_209656__ps_209655,0.485,CubeMaterial_1M_Cube,5,0,1104,vs_209656,ps_209655
pass2__zc_880x432,s_vs_207318__ps_207317,0.118,M_Sky_Panning_Clouds2_SM_SkySphere,1,0,11904,vs_207318,ps_207317
pass2__zc_880x432,s_vs_209318__ps_209317,0.160,M_UE4Man_Body_SK_Mannequin,1,0,32094,vs_209318,ps_209317
pass2__zc_880x432,s_vs_214525__ps_214524,0.034,M_UE4Man_Body_SK_Mannequin,1,0,72,vs_214525,ps_214524
pass2__zc_880x432,s_vs_17785__ps_17784,0.047,HelpActorMaterial_None,1,0,4,vs_17785,ps_17784
pass2__zc_880x432,s_vs_17788__ps_17787,0.098,DefaultTextMaterialOpaque_None,1,0,72,vs_17788,ps_17787
pass2__zc_880x432,s_vs_17792,0.036,PerObject_ThirdPersonCharacter_167,1,0,36,vs_17792,
pass2__zc_880x432,s_vs_214534__ps_214533,0.037,M_UE4Man_Body_SK_Mannequin,1,0,72,vs_214534,ps_214533
pass2__zc_880x432,s_vs_209322__ps_209321,0.082,M_UE4Man_Body_SK_Mannequin,1,0,32094,vs_209322,ps_209321
pass2__zc_880x432,s_vs_17792__ps_17797,0.063,PerObject_ThirdPersonCharacter_167,1,0,36,vs_17792,ps_17797
pass3__c_220x108,s_vs_17861__ps_17862,0.111,BloomSetup_220x108_PS,1,0,3,vs_17861,ps_17862
